idcuenta,moneda,saldo,estado
533,Ruble,1899867.88,false
534,Yuan Renminbi,1357086.66,false
535,Rupiah,1747676.11,true
536,Baht,1087143.47,false
537,Peso,1562452.89,false
538,Kuna,44592.44,false
539,Rupiah,1431090.62,true
540,Krona,1395626.42,true
541,Sol,1727832.93,false
542,Koruna,1710862.78,false
543,Rupiah,213263.84,false
544,Rial,1638185.46,true
545,Ruble,832817.05,true
546,Real,1172539.08,false
547,Dong,1166084.61,true
548,Rupiah,1223395.85,false
549,Shilling,1081875.86,true
550,Guarani,1593187.04,true
551,Peso,1970042.35,false
552,Hryvnia,1705854.19,true
553,Yuan Renminbi,142277.37,false
554,Rupiah,1783882.51,true
555,Dollar,934242.83,true
556,Dinar,648514.78,true
557,Krona,1572663.7,true
558,,945102.37,true
559,Yen,1456909.66,false
560,Peso,1302387.55,true
561,Real,681440.14,true
562,Yuan Renminbi,739825.85,false
563,Peso,,true
564,Baht,524930.47,false
565,Yen,162413.07,true
566,Rupee,121873.21,false
567,Rupiah,,false
568,Rial,1663709.3,false
569,Yuan Renminbi,205292.03,false
570,Euro,1044511.24,false
571,Hryvnia,510075.37,false
572,Shilling,947765.44,true
573,Euro,1553664.19,true
574,Euro,718808.29,false
575,Yuan Renminbi,1505210.9,true
576,Rupiah,82259.82,false
577,Rupiah,788413.36,true
578,Euro,1594293.54,false
579,Krona,1821204.2,false
580,Rupiah,634323.03,true
581,Won,,false
582,Yuan Renminbi,1310130.16,false
583,Euro,1777294.86,false
584,Yuan Renminbi,1920732.63,false
585,Litas,1254515.63,true
586,Ruble,401731.21,true
587,Rupiah,601207.32,true
588,Yuan Renminbi,236398.88,false
589,Euro,1883982.93,true
590,Dollar,42129.53,false
591,Peso,570286.07,
592,Real,1375543.6,true
593,Yuan Renminbi,1414047.54,true
594,Naira,1813648.05,false
595,Hryvnia,918119.05,true
596,Franc,926120.31,false
597,Hryvnia,1577001.74,true
598,Real,82987.24,false
599,Rupiah,840885.57,
600,Dollar,1223103.85,false
601,Yuan Renminbi,1978772.19,
602,Ruble,1966956.87,true
603,Dirham,1177238.95,false
604,Manat,415112.89,true
605,Dollar,540510.42,true
606,Franc,177913.42,false
607,Krone,1540638.76,false
608,Euro,1720157.52,
609,Real,1247313.79,false
610,Won,1914955.45,true
611,Zloty,22806.69,false
612,Lek,1357222.91,true
613,Franc,1405535.05,true
614,Dram,807366.36,false
615,Rupiah,484976.75,true
616,Sol,672529.17,false
617,Dirham,886825.91,true
618,Dollar,510769.27,true
619,Taka,332925.71,true
620,Birr,290142.07,true
621,Dollar,978842.84,true
622,Yuan Renminbi,542462.72,true
623,Real,120051.71,false
624,Yuan Renminbi,68726.42,true
625,Rupiah,1490801.22,false
626,Rupiah,562254.63,true
627,,175247.7,false
628,Yuan Renminbi,1021121.9,true
629,Euro,1598492.87,true
630,Peso,1273573.86,true
631,Dollar,,true
632,Ringgit,1014455.11,false
633,Yuan Renminbi,1778137.69,true
634,Zloty,1388271.46,true
635,Yuan Renminbi,117191.2,false
636,Ruble,,false
637,Yuan Renminbi,506254.82,true
638,Yuan Renminbi,431590.03,true
639,Real,305506.62,false
640,Naira,124705.68,false
641,Hryvnia,1467281.48,true
642,Ruble,1106381.49,true
643,Euro,368053.63,false
644,Yuan Renminbi,1270352.13,false
645,Yuan Renminbi,437706.13,true
646,Rupiah,962033.73,true
647,Rupiah,797075.04,true
648,Baht,1502064.07,false
649,Real,1865078.61,true
650,Yuan Renminbi,1019609.3,false
651,Won,1278021.17,true
652,,1347143.8,false
653,Shekel,338208.6,true
654,,1690052.3,true
655,Escudo,412544.49,true
656,,553792.88,true
657,Dollar,1388761.4,true
658,Ruble,1899026.11,false
659,Riels,698238.61,true
660,Taka,36845.63,false
661,Tenge,1240725.58,false
662,Peso,1127934.53,false
663,Yuan Renminbi,500095.7,false
664,Rial,1858272.14,false
665,Peso,1866468.58,true
666,Yuan Renminbi,5961.05,
667,Yuan Renminbi,1083321.29,true
668,Ruble,106139.51,true
669,,121173.61,true
670,Euro,1884862.22,true
671,Krona,1515426.36,true
672,Yuan Renminbi,1508545.49,true
673,,1331469.9,true
674,Dollar,,true
675,Euro,301124.7,false
676,Dollar,198232.12,false
677,Guarani,570977.72,false
678,Baht,1181050.43,true
679,Yuan Renminbi,595743.86,false
680,Euro,1249972.77,false
681,Koruna,713065.88,false
682,Lempira,1158705.15,true
683,Yuan Renminbi,5385.73,false
684,Metical,743639.16,true
685,Dollar,297461.1,false
686,Dollar,967648.75,false
687,Yuan Renminbi,1842423.65,false
688,Manat,907820.89,false
689,Rupee,562735.33,true
690,Yuan Renminbi,288947.88,
691,Rupiah,1770993.36,false
692,Euro,603401.83,true
693,Krona,1817963.44,true
694,Dollar,1364785.97,true
695,Ruble,1441547.36,false
696,Kuna,1033123.12,
697,Zloty,773669.04,false
698,,1868040.95,
699,Yuan Renminbi,1854159.6,false
700,,84247.39,false
701,Tugrik,1044302.42,false
702,Hryvnia,1346514.27,true
703,Yuan Renminbi,299501.0,true
704,,1972725.2,true
705,Yuan Renminbi,680420.77,false
706,Sol,1453623.15,false
707,Rupee,1800738.45,false
708,Rupiah,247419.37,true
709,Shilling,1961333.0,false
710,Zloty,365323.57,false
711,Yuan Renminbi,1177063.27,true
712,Euro,1848674.14,false
713,Zloty,1022682.66,false
714,Real,,true
715,Dram,560758.98,false
716,Euro,871206.72,false
717,Yuan Renminbi,111618.17,
718,Afghani,1168249.17,true
719,,1581550.91,false
720,Dollar,98655.78,true
721,Krona,201923.98,false
722,Rupiah,1635587.42,false
723,Won,1504865.29,true
724,Franc,915651.73,true
725,Guarani,464595.47,true
726,,1554246.99,true
727,Yuan Renminbi,986214.04,false
728,Euro,1157188.76,false
729,Yuan Renminbi,1515832.29,true
730,Euro,1608401.84,
731,Dollar,545625.71,true
732,Dollar,1650366.69,false
733,Zloty,540469.72,false
734,Dinar,1728627.17,false
735,Yuan Renminbi,1698640.59,false
736,Euro,,true
737,,1921752.58,true
738,Naira,121609.92,true
739,Yuan Renminbi,622584.75,true
740,Peso,1708606.27,false
741,Yuan Renminbi,1751772.67,true
742,Franc,679449.84,false
743,Som,1176096.05,true
744,Euro,592625.85,true
745,Yen,1635020.02,false
746,Zloty,1336542.41,false
747,,759068.98,true
748,Koruna,642396.33,false
749,Taka,727977.3,
750,Ruble,192998.61,true
751,Krona,1992475.6,false
752,Sol,475975.49,false
753,Real,1062215.5,true
754,Dollar,595428.56,
755,Peso,1398917.71,
756,Peso,913140.8,false
757,Franc,845020.15,true
758,Yuan Renminbi,1700849.77,false
759,Ruble,553855.68,
760,Ruble,432689.9,true
761,Hryvnia,197.07,true
762,Dollar,1800321.24,false
763,Euro,758615.15,false
764,Franc,,true
765,Euro,837894.9,true
766,Rupiah,1407096.09,false
767,Yuan Renminbi,1348156.7,false
768,Rupiah,928558.64,true
769,Yuan Renminbi,1626104.55,false
770,Quetzal,1662567.7,false
771,Yuan Renminbi,1039510.83,true
772,Euro,515253.94,false
773,Euro,1599172.36,true
774,Euro,440009.69,false
775,Euro,235088.44,false
776,Euro,1727187.98,false
777,Naira,1883359.29,true
778,Euro,412468.49,true
779,Ruble,73350.77,true
780,Rupiah,92428.27,true
781,Euro,80439.73,false
782,Hryvnia,414734.37,false
783,Leone,1047217.8,false
784,Leu,,true
785,Boliviano,1479332.21,true
786,Yuan Renminbi,135632.27,false
787,Krona,1614146.37,true
788,Euro,1003371.19,true
789,Peso,265838.63,false
790,Bolivar,1490467.88,false
791,Ruble,1209351.44,true
792,Peso,,false
793,Peso,980512.08,true
794,Yuan Renminbi,559973.43,true
795,Yuan Renminbi,1811414.74,true
796,Real,4161.23,false
797,Rupiah,599815.15,false
798,Boliviano,1687619.48,true
799,Sol,1016636.6,true
800,Yen,1584679.94,false
801,Krona,633487.46,false
802,Leu,7229.17,false
803,Sol,1368190.62,false
804,Euro,,true
805,Dollar,1488200.08,false
806,Kyat,825111.08,true
807,Real,1937438.65,true
808,Euro,404679.52,false
809,Euro,1887241.19,false
810,Yuan Renminbi,300316.89,false
811,,1125608.06,false
812,Peso,1052114.12,
813,,1967760.77,true
814,Hryvnia,521613.48,false
815,Krona,1965289.51,true
816,Dong,924072.5,false
817,Yuan Renminbi,1468217.11,false
818,Peso,12059.03,true
819,Rupiah,1556719.36,true
820,Yuan Renminbi,240547.02,false
821,Bolivar,107593.6,true
822,Yuan Renminbi,619764.48,false
823,,1926129.64,false
824,Marka,1389499.99,true
825,Zloty,1173608.86,
826,Franc,1177530.99,true
827,,866230.53,false
828,Yuan Renminbi,1967619.58,true
829,Rupiah,602840.85,false
830,Ruble,418819.25,false
831,Baht,1888599.08,
832,Yuan Renminbi,413139.11,true
833,Dirham,1190448.93,true
834,Euro,1164542.9,
835,Yuan Renminbi,957919.68,true
836,Zloty,1933126.14,true
837,Euro,862849.44,false
838,Real,845080.32,false
839,Yuan Renminbi,1918300.89,true
840,Sol,1744067.95,true
841,Euro,1347991.53,false
842,Yuan Renminbi,1949466.5,true
843,Euro,1937719.62,false
844,Ruble,1085864.01,false
845,Ruble,781265.02,
846,Euro,1670658.32,false
847,Real,1788869.22,true
848,Euro,1126442.39,true
849,Zloty,200882.0,false
850,Yuan Renminbi,961624.45,false
851,Baht,1773445.17,false
852,Yuan Renminbi,,false
853,Rupiah,1146603.29,true
854,Euro,255891.07,false
855,Colon,578401.18,true
856,Koruna,1674581.71,false
857,Yuan Renminbi,1261607.85,false
858,Yuan Renminbi,1799255.42,false
859,Kip,336120.46,true
860,Manat,138462.41,false
861,Yuan Renminbi,713082.73,true
862,,596211.89,false
863,Euro,1463869.91,true
864,Dalasi,138324.08,false
865,Yuan Renminbi,847013.12,true
866,Peso,484438.66,true
867,Yuan Renminbi,829765.2,true
868,Ruble,1209647.01,true
869,Real,1060170.58,false
870,,1614453.46,false
871,Rupee,1625764.06,false
872,Ruble,135798.0,false
873,Peso,431964.61,true
874,Yuan Renminbi,505021.72,false
875,Rupiah,466742.72,false
876,Krona,87760.6,true
877,Rupiah,,false
878,Yuan Renminbi,1861464.78,false
879,Euro,612596.71,true
880,Euro,,false
881,Peso,752277.17,true
882,Sol,155410.77,false
883,Rupiah,604702.31,false
884,Rupiah,1011320.32,false
885,Peso,740414.12,true
886,Yuan Renminbi,1376024.23,true
887,Dinar,1174081.79,false
888,Dollar,1485017.95,false
889,Real,1636482.15,false
890,Rupiah,113945.05,false
891,Rupiah,1219376.08,false
892,Shilling,1394879.79,true
893,,1604105.04,true
894,Yuan Renminbi,1020492.21,false
895,Rupiah,1872096.54,true
896,Won,73788.75,false
897,Euro,1003740.33,false
898,Yuan Renminbi,1002332.76,false
899,Won,701862.88,
900,Bolivar,1956354.79,false
901,Rupiah,1392657.49,true
902,,345245.65,true
903,Franc,19498.35,false
904,Rupee,754419.58,true
905,Sol,595186.98,true
906,Peso,1783092.19,true
907,Real,232044.8,
908,Yuan Renminbi,626488.25,false
909,Franc,1642847.72,true
910,Dollar,1325305.21,false
911,Dinar,699938.64,true
912,,1197915.2,true
913,Krona,1393377.45,true
914,Dollar,788429.32,false
915,Zloty,945980.72,true
916,Rupiah,464463.43,true
917,Riels,883393.18,true
918,Rupiah,1257903.95,false
919,Rupiah,1739947.89,false
920,Yuan Renminbi,1207529.77,true
921,Euro,457718.45,true
922,Franc,1071312.99,false
923,Ruble,1461142.66,false
924,,487350.97,false
925,Kuna,229008.94,false
926,Litas,1212218.72,false
927,Peso,1318487.51,true
928,Pound,307638.31,false
929,Rufiyaa,99296.71,true
930,,149668.19,
931,Peso,57733.4,true
932,Pound,1075798.98,true
933,Euro,937338.36,true
934,Yuan Renminbi,858623.63,false
935,Euro,35886.91,true
936,Ruble,772608.13,false
937,,1181534.29,true
938,Dollar,389907.61,false
939,Rupiah,1107129.06,false
940,Pula,1510975.88,true
941,Dinar,949492.99,true
942,Yuan Renminbi,296125.09,
943,Yuan Renminbi,1390233.95,false
944,Ruble,1894178.84,true
945,Yuan Renminbi,1733615.98,false
946,Dollar,1646772.18,
947,Rupiah,1429767.76,true
948,Peso,1681723.44,false
949,Euro,305538.13,true
950,Euro,57405.25,false
951,Euro,1592608.93,false
952,Yuan Renminbi,1356850.02,true
953,Shilling,1422170.04,false
954,Euro,,true
955,Dollar,732435.99,true
956,Yen,1215581.96,true
957,Rupiah,564433.01,true
958,Rupiah,,false
959,Yuan Renminbi,381509.65,true
960,Dollar,314953.21,true
961,Pula,94054.23,true
962,Rupiah,1083323.41,false
