idlibro,idtransaccion,saldo,monto,fechalibro
249,1379,31079.69,138376.62,2026-02-12
250,3420,931577.78,460821.88,2026-12-29
251,287,95660.53,55561.96,2025-12-24
252,2297,756943.48,461356.26,2026-03-11
253,4968,125289.81,851547.84,2023-06-10
254,1446,740031.77,,2024-08-05
255,2125,309964.05,262724.16,2023-07-02
256,142,461978.95,720345.83,2024-04-19
257,230,879767.62,908071.89,2025-05-20
258,4125,382203.56,718814.23,2025-11-10
259,1438,742175.81,772045.14,2025-12-01
260,3223,231182.8,816526.57,2022-12-09
261,3769,132469.75,559583.29,2023-04-30
262,196,518224.33,289583.11,2023-05-09
263,1091,384751.31,,2025-12-10
264,3968,990449.52,,2025-02-02
265,516,367863.85,194523.13,2023-03-10
266,2440,601847.4,651957.11,2022-08-25
267,1221,286896.52,271438.76,2026-03-03
268,4298,866703.5,,2024-10-31
269,3648,700099.77,146044.53,2022-12-09
270,4107,434741.71,645638.34,2026-03-07
271,73,679143.62,,2024-09-07
272,4431,434621.41,443618.3,2023-09-02
273,1983,573713.5,585958.4,2025-03-05
274,4288,233.25,8054.09,2024-09-08
275,2762,151467.22,779901.74,2024-10-08
276,1867,710411.4,255404.97,2024-04-12
277,282,276238.46,146247.97,2023-10-01
278,619,312808.3,79032.81,2026-03-30
279,4336,8326.39,457544.73,2025-06-30
280,2492,774041.38,751486.86,2023-06-15
281,2465,496541.99,681710.66,2026-11-18
282,321,310056.05,220059.44,2025-01-26
283,231,65634.27,275766.33,2025-09-09
284,2002,452223.74,464951.48,2025-10-11
285,547,225960.38,78068.47,2023-03-12
286,3119,90369.48,550832.34,2022-09-22
287,1520,,214710.98,2026-07-04
288,2478,725907.62,662944.21,2023-04-28
289,407,707701.97,,2023-01-10
290,3297,523439.4,,2026-12-28
291,2119,779710.88,982095.64,2022-12-19
292,2129,422137.36,805215.03,2026-05-05
293,1903,,652325.91,
294,1712,896869.45,782522.35,2024-11-26
295,2302,831626.09,103266.66,2024-04-19
296,3877,413519.17,186187.76,2024-03-14
297,4406,55698.62,440234.08,2023-01-10
298,3102,39891.69,,2025-03-24
299,735,905713.53,525714.77,2023-07-17
300,4246,790508.01,929118.41,2024-03-08
301,3666,,793051.19,2022-11-19
302,4395,986105.81,221311.3,
303,4145,591520.94,590070.93,2026-02-18
304,4726,309907.05,109531.49,
305,1285,,770487.1,2025-01-08
306,1436,,315339.23,2024-09-03
307,2178,279920.74,815808.2,2026-04-14
308,4265,589899.48,214851.39,2022-10-11
309,2984,956415.8,523340.32,2023-10-25
310,1281,,873782.5,2023-04-08
311,1974,306287.05,189179.54,2024-05-24
312,1025,920483.18,308768.91,2022-11-01
313,4642,343484.61,905793.67,2023-12-19
314,4689,892891.39,961135.48,2023-02-10
315,3629,731898.34,979152.21,
316,1088,326612.81,120562.59,2024-06-07
317,2713,915847.65,577698.61,2023-03-18
318,719,576998.74,936998.8,2023-10-11
319,3481,436149.76,386045.32,2024-02-01
320,1910,599183.13,812295.65,2023-08-28
321,4398,849446.19,263411.26,2023-04-15
322,3508,702410.61,54271.82,2023-09-21
323,3568,121342.88,114112.9,2024-07-29
324,3314,810436.07,43718.01,2023-01-05
325,1191,221012.93,,
326,2943,,291064.17,2025-01-05
327,1108,490547.68,711866.79,2024-05-14
328,2398,959371.23,669227.36,2022-07-12
329,927,741746.3,127747.29,2024-07-04
330,350,428381.27,289490.73,2024-11-28
331,2965,227569.73,,2023-05-09
332,2548,998282.85,254298.34,2025-07-27
333,1751,166449.64,811368.01,2023-09-12
334,2861,941607.6,887687.16,2026-06-10
335,4043,490640.51,301419.74,2022-07-10
336,2729,48598.56,863724.67,2026-08-21
337,3364,541404.71,669096.17,2024-11-26
338,2563,164566.44,319223.98,2023-07-06
339,2199,632598.64,460055.66,2023-10-06
340,1216,741179.43,89437.13,2025-11-11
341,2867,708776.95,276817.04,2024-01-14
342,3148,144203.24,596794.8,2024-12-05
343,4641,525109.29,699017.26,2026-09-09
344,1912,884564.9,72491.1,2026-02-20
345,169,923717.19,,2024-03-26
346,4,652699.71,,2025-10-09
347,1339,930722.08,644814.46,2025-01-25
348,3651,163344.91,,2025-05-31
349,2914,894533.82,949212.42,2026-05-01
350,586,627197.52,422414.0,2024-04-04
351,1317,913967.15,756669.97,2022-09-03
352,3459,425066.77,389757.19,2023-08-23
353,4,323981.14,56773.06,2026-05-30
354,1804,655150.65,29948.58,2024-01-03
355,4321,193411.15,63488.05,2025-08-11
356,61,992967.88,617563.95,2026-12-11
357,2539,252144.35,712448.42,2023-08-06
358,2761,679721.96,,2025-03-13
359,633,285739.74,357732.11,2022-10-21
360,2064,831524.93,265050.62,2023-08-13
361,3438,341070.96,413382.44,2025-11-22
362,2081,298062.38,869458.88,2025-03-21
363,704,994701.51,680097.24,2026-12-03
364,3299,442171.31,164833.96,2024-05-01
365,2071,335950.97,63158.74,2025-12-29
366,1012,638600.7,118688.95,2024-08-23
367,3853,7193.53,,2026-01-28
368,4621,779270.96,411829.42,2026-02-28
369,34,402605.93,,2024-11-04
370,3835,973078.42,,2023-07-04
371,3583,6871.62,168218.25,2025-02-24
372,3413,693154.58,392765.92,2023-02-14
373,4940,516281.2,943934.45,2026-06-26
374,1691,131118.75,23446.51,2024-06-19
375,4046,577744.77,882803.25,2024-02-24
376,2333,997719.71,769765.08,
377,2232,540007.78,939026.06,2023-10-22
378,710,325732.22,421132.5,2026-01-27
379,2017,907891.36,894978.96,2023-07-16
380,1126,179085.13,762293.75,2024-09-16
381,3320,120179.28,430122.06,2026-09-30
382,121,938854.74,788970.36,2023-10-05
383,189,70746.21,486140.5,2026-08-22
384,1280,324497.37,232278.77,2024-04-25
385,3088,,155682.62,2025-08-30
386,4755,314065.74,693070.23,2024-03-31
387,3902,550574.57,377271.54,2023-08-29
388,2580,127903.92,202780.08,2026-10-04
389,4561,164599.56,340861.49,2026-07-07
390,614,375091.77,28972.64,2024-06-29
391,2943,550708.75,395316.37,2026-10-29
392,4893,793343.14,684990.53,2024-04-27
393,3370,370175.71,250214.64,2022-09-30
394,2952,85097.03,540178.82,2024-03-26
395,2661,142951.22,716261.71,2026-12-11
396,906,425755.48,,2022-08-28
397,2515,979658.82,945071.48,2024-06-08
398,1850,279528.66,97545.95,2026-09-08
399,4895,357638.04,832120.11,2023-04-20
400,4168,696183.41,971452.13,2025-01-03
401,2688,690835.9,486849.78,2024-12-01
402,3651,342222.95,195609.62,2025-03-28
403,1624,870721.01,15837.71,2025-12-31
404,2162,762168.0,129973.05,2024-12-05
405,641,582952.08,277256.15,2025-03-22
406,4545,700133.43,55373.14,2024-02-15
407,3890,108907.12,344345.76,2023-12-30
408,861,643488.0,494503.1,2022-10-18
409,1772,102904.68,30874.53,2023-03-28
410,4634,776680.51,659571.84,2024-10-04
411,1719,952582.83,733980.04,2026-11-09
412,2787,465216.23,,
413,2387,787320.33,57533.17,2024-06-18
414,2771,183953.23,834519.0,2025-07-10
415,1093,568022.52,115544.22,
416,3925,628229.86,398091.43,2025-02-02
417,4237,449105.63,4050.19,2026-11-20
418,51,995380.97,241831.26,2026-03-22
419,4125,785410.74,699405.01,2023-07-29
420,3829,130152.88,721118.66,2022-11-28
421,4335,265373.41,163212.91,2025-12-02
422,4697,344205.12,568233.08,2022-10-05
423,3175,92169.27,319069.95,2024-03-26
424,2171,248667.63,126479.26,2025-01-02
425,1724,398234.89,508401.14,2024-03-08
426,4266,791204.48,387354.99,2024-02-21
427,1255,452857.06,662752.18,2023-05-23
428,3889,949660.46,285483.78,2024-10-03
429,2416,814623.58,461678.26,
430,4570,424119.61,515978.38,2023-05-14
431,4476,50689.29,350737.72,2024-10-09
432,731,721994.77,711996.49,2022-09-18
433,4754,663498.64,625498.11,2024-07-31
434,1114,341000.2,,2026-12-20
435,4830,101580.3,662056.19,2022-10-23
436,2813,986769.23,375577.59,2023-10-01
437,4471,,125054.45,2025-11-07
438,2721,890942.61,880190.44,2026-09-10
439,4543,614892.99,842781.2,2023-10-03
440,4286,261212.37,823995.33,2024-01-31
441,681,221737.27,582294.41,2024-04-30
442,693,455389.28,81349.7,2024-09-13
443,1825,823781.08,341294.93,2023-01-24
444,1550,448780.03,,2024-08-15
445,3200,180177.15,830734.07,2026-05-27
446,4267,446135.6,724766.45,2023-07-04
447,3287,981341.22,,2024-11-29
448,3449,908119.18,456802.63,2022-12-12
449,312,940723.88,857166.41,2025-08-21
450,2789,651901.42,304360.3,2024-04-14
451,4237,946211.5,939421.76,2022-09-14
452,4317,798795.55,556587.38,2026-06-30
453,4485,708286.66,125129.85,2025-04-21
454,4021,493326.03,872973.9,2023-09-21
455,3879,614607.88,705193.58,2023-09-11
456,4584,154764.82,363788.47,2025-10-24
457,1726,,583672.31,
458,2648,239275.11,420954.91,2023-05-24
459,4199,384812.65,849289.42,2024-03-09
460,4442,846039.33,393456.83,2026-02-24
461,2153,275674.92,139283.88,2023-09-23
462,1592,822410.83,424293.76,2022-12-01
463,4265,50075.28,628733.54,2026-06-14
464,4115,71532.37,795369.31,2026-08-03
465,1884,717398.01,769958.79,2024-07-22
466,399,252028.62,374820.21,
467,3521,899232.9,519060.7,2025-05-15
468,2646,,690429.15,2025-07-23
469,2768,824867.86,256545.57,2026-02-18
470,4886,,204910.68,2024-01-27
471,198,610938.95,916124.26,2024-10-04
472,75,275241.0,156765.85,
473,1538,943759.51,502397.99,
474,1075,56170.19,758545.42,2024-12-13
475,2832,278022.46,96174.02,2024-10-18
476,1365,851458.44,665899.55,2026-07-09
477,1386,589101.57,432097.9,2026-03-28
478,226,562099.65,279266.44,2023-08-22
479,1130,798521.99,999784.58,2024-02-14
480,1177,351096.95,684738.72,2026-08-27
481,2883,161013.55,395948.87,2025-02-10
482,3210,603722.3,337964.93,2026-04-10
483,3024,113880.73,885496.02,2023-01-29
484,3547,655481.8,835087.36,2023-04-21
485,1429,481695.59,440152.26,2026-05-26
486,4874,345952.39,424606.38,2024-11-27
487,2769,202473.21,792439.4,2024-01-16
488,900,429885.29,679517.0,2025-11-17
489,3371,582467.23,844291.32,2022-08-08
490,3127,495935.06,715956.54,2022-09-15
491,4519,642574.27,158444.37,2025-12-28
492,3748,666689.18,,2025-05-21
493,3365,616798.52,241632.94,2026-12-20
494,301,713144.95,240136.72,2025-03-29
495,3945,281655.04,802399.77,2025-12-06
496,2899,766243.49,319242.96,2023-05-11
497,4412,203510.09,627231.78,2023-07-24
498,2277,181350.37,820309.0,2025-12-15
499,2929,532238.07,882060.52,2024-09-03
500,3273,428618.34,177368.21,2025-01-31
501,2159,414025.92,176654.35,2024-02-22
502,483,,364744.55,2024-01-24
503,941,143350.79,642714.72,2024-10-13
504,4574,669507.05,378303.21,2024-06-24
505,1077,162313.79,57655.99,2024-09-16
506,4485,741277.3,106844.01,2022-08-17
507,4572,18704.25,147721.48,2023-05-15
508,3904,341908.84,983182.36,2022-09-02
509,337,782350.28,305658.93,2025-10-26
510,376,942958.13,626094.59,2025-05-10
511,452,,370771.63,2023-01-07
512,1607,891681.82,680663.71,2023-10-01
513,3588,962429.09,480662.74,2025-07-16
514,608,538340.41,397406.81,2025-06-10
515,2191,405897.54,573064.12,2023-09-24
516,4557,401287.5,227711.92,2024-03-05
517,38,11073.18,505217.76,2026-01-21
518,575,317974.48,428685.14,
519,896,276137.53,733904.75,2025-11-12
520,50,492274.77,90770.47,2026-01-25
521,2472,802145.49,868256.19,2023-06-25
522,3775,152224.64,228779.86,2026-02-20
523,3413,650541.94,883149.55,
524,2715,257019.0,508507.02,2025-10-24
525,332,12096.37,34425.98,2024-11-08
526,3048,520117.47,799099.52,2024-04-10
527,3089,74732.79,814955.24,2024-07-03
528,1978,,662777.72,2022-11-04
529,4080,407514.9,676601.86,
530,4227,675049.49,499834.85,
531,4017,191296.99,327171.13,2025-11-18
532,4713,621400.41,583542.49,2024-10-22
533,908,60707.06,676257.06,2023-01-05
534,1295,662769.41,160746.38,2023-09-15
535,3172,483460.3,,2023-08-12
536,1349,493234.37,595177.7,2025-03-26
537,1460,450643.41,934622.95,2024-06-07
538,915,978879.67,966536.57,2024-09-30
539,247,807029.18,,2025-09-24
540,4898,162486.41,853405.66,2025-06-12
541,2647,,71091.53,
542,1781,861108.03,290726.96,2025-05-29
543,1544,538382.99,455364.48,2026-02-14
544,1441,913569.67,624811.54,2025-02-14
545,3728,494211.69,73111.88,2024-06-11
546,3410,589248.96,920128.62,2024-09-18
547,837,171296.15,151221.16,2024-06-03
548,3397,,803090.79,2026-10-25
549,4421,378572.5,156787.74,2022-09-23
550,2014,373647.99,93981.39,2026-09-18
551,3338,888535.68,31576.36,2023-05-07
552,1484,405612.63,714579.63,2025-03-17
553,2587,262438.45,365715.97,2026-02-10
554,4057,446247.26,243240.23,2022-07-19
555,2906,302614.69,103877.24,2024-12-13
556,4068,941604.1,178707.4,2026-08-17
557,1801,836520.91,552216.63,2023-01-17
558,4191,273869.63,38306.21,2023-01-18
559,791,687500.8,41966.62,2022-11-20
560,1495,117898.29,47417.33,
561,2184,433117.73,230790.72,2022-10-01
562,3607,19144.92,84199.61,2025-09-20
563,4012,45700.82,983417.88,2026-05-22
564,4710,588411.33,645705.7,2025-11-09
565,3412,662738.31,142757.16,2025-10-01
566,749,508612.31,499555.72,
567,1334,801735.01,154165.99,2026-02-20
568,2008,5071.7,248265.99,2025-01-28
569,3131,479684.69,156660.05,2023-07-19
570,1681,849191.77,620239.53,2023-09-09
571,1791,19260.74,240352.83,2025-05-10
572,1558,726676.9,367300.3,2022-10-09
573,1039,263314.62,814737.14,2025-12-17
574,2676,48347.36,362659.99,
575,4196,613656.62,698834.42,2024-05-01
576,710,340167.56,63288.56,2024-10-23
577,2774,,168778.25,2024-04-23
578,1947,,471011.51,2023-03-22
579,128,526970.93,662779.69,2024-02-15
580,4977,135157.56,584240.94,2026-03-18
581,3835,940610.15,556601.34,2024-09-20
582,964,506494.5,375786.27,2024-12-23
583,4975,929060.34,938980.71,2026-04-21
584,3870,750850.36,753104.22,2022-10-25
585,2857,888660.73,763311.43,2024-12-21
586,4151,900113.05,182856.63,2025-06-03
587,4647,367924.88,8905.44,2026-08-20
588,4113,308490.55,713147.99,2024-11-20
589,1795,290470.5,646008.36,2026-11-30
590,4046,766740.11,74543.96,2026-09-06
591,1883,179139.62,137466.91,2023-09-29
592,3669,870114.52,467138.3,
593,3119,393267.5,696810.31,2023-03-17
594,3628,455252.72,844278.72,2024-09-11
595,3059,981965.52,923309.29,
596,3596,386906.36,826311.88,2026-08-21
597,1476,908648.52,630522.87,2022-12-02
598,4068,755594.2,426787.77,2025-12-08
599,2261,777802.88,661188.59,2026-08-29
600,2990,308366.52,99960.96,2023-10-10
601,2993,611445.57,615638.24,2022-10-21
602,540,370588.42,352470.46,2023-08-05
603,1829,953902.03,944750.25,2024-01-26
604,1524,980024.12,743382.31,2023-04-06
605,3116,10358.53,364591.12,2022-08-18
606,939,375168.34,31011.76,2023-02-05
607,3684,,722301.49,2024-10-07
608,4279,,176643.02,2026-06-28
609,1499,624415.06,858511.89,2025-03-08
610,419,332854.93,649492.58,2023-06-01
611,987,866445.56,512522.6,2026-01-31
612,2179,743340.81,811803.89,2023-10-03
613,1334,640337.31,23251.3,2023-09-19
614,3911,,334903.54,2026-10-23
615,187,983237.33,114326.31,2024-01-16
616,342,642606.15,120177.84,2024-06-10
617,1182,732848.01,540359.77,2024-03-17
618,3324,695620.12,771058.66,2025-07-01
619,1188,322772.9,440999.01,2023-02-17
620,328,583778.54,81243.08,2023-10-04
621,1562,457448.46,,2026-10-13
622,4613,41141.78,774227.09,2023-08-25
623,3927,7988.35,767422.22,2025-12-02
624,3258,440781.79,758455.0,2025-09-03
625,3064,313519.83,,
626,4337,917025.9,678488.88,2022-11-14
627,4744,602188.64,971290.65,2023-11-24
628,3444,,185709.4,2026-02-08
629,2179,648734.32,813883.21,2026-10-26
630,2686,434154.73,976701.04,2023-03-19
631,4656,,560834.73,2024-10-23
632,2348,110802.85,686612.84,2025-09-21
633,4151,346791.14,693780.69,2023-02-04
634,3859,432081.87,105362.13,2026-06-24
635,4540,921744.11,817795.59,2026-04-14
636,3518,110770.24,663551.03,2025-08-14
637,2509,585950.87,46901.76,2025-10-15
638,389,287585.12,515430.68,2026-04-28
639,3178,389164.52,202348.77,2023-12-06
640,2638,68460.24,184130.13,2026-03-10
641,2457,216579.18,625324.91,2023-02-07
642,3031,168372.06,185233.31,2022-07-01
643,126,805364.06,346316.57,2024-02-25
644,1762,510019.62,556247.3,2025-01-28
645,4598,269135.29,151983.58,2024-11-25
646,249,617617.59,767401.66,
647,2748,333620.1,387575.24,2026-04-06
648,1754,129289.43,686713.07,2025-08-21
649,4940,198789.77,175084.89,2024-01-08
650,281,326259.7,558479.72,2026-10-02
651,2757,668248.09,446050.5,2023-07-14
652,2454,401377.4,364163.82,
653,1147,866327.92,203049.57,2026-07-25
654,4122,147524.35,511768.35,2025-10-24
655,4825,97783.32,588042.77,2026-01-13
656,95,772161.67,999081.47,2024-10-20
657,2663,767760.19,336135.24,2024-08-18
658,3579,423253.08,679120.05,2026-11-20
659,4763,101769.87,810816.7,2024-03-15
660,2078,890350.58,,2023-03-05
661,959,179041.45,902374.34,2026-03-12
662,4557,,518770.15,2025-12-28
663,2326,384922.6,888783.93,2023-04-05
664,1952,336306.51,508234.93,2025-01-12
665,4519,350749.67,830703.56,2022-09-30
666,3197,749866.22,511817.95,2022-07-06
667,1,811754.44,776288.45,2024-02-07
