idtransaccion,idcuentaorigen,idcuentadestino,monto,fecha,estadotransaccion
114,557,1616,750268.56,2023-05-22,True
115,173,3276,0.0,2024-12-29,True
116,4151,2424,492909.36,2023-07-11,False
117,1544,3795,54632.32,2024-06-05,False
118,4277,4303,415253.58,2026-05-31,True
119,4883,3973,894308.72,2024-07-01,True
120,2791,1507,487421.61,2025-07-06,False
121,3652,3141,887316.23,2023-05-24,False
122,4610,1871,712040.98,2024-04-19,False
123,898,4939,166386.39,2025-11-10,True
124,3136,128,53202.64,2026-08-26,False
125,2688,356,445932.71,2024-11-07,True
126,4216,3793,471928.36,2023-02-16,False
127,4213,3815,320077.99,2026-01-24,False
128,3517,1788,541866.41,2025-04-03,False
129,2505,2794,549740.99,2025-10-20,False
130,2658,1426,728332.03,2024-05-27,False
131,850,783,439947.92,2026-10-24,True
132,3845,795,747724.43,2025-11-20,False
133,4663,4452,95327.29,2026-12-03,False
134,4554,128,49067.93,2025-08-09,False
135,3373,1524,147734.77,2026-04-26,True
136,1213,1104,874341.49,2025-06-18,False
137,3865,549,653764.16,2024-11-07,False
138,4241,355,0.0,2022-09-23,False
139,1611,4680,559712.6,2025-08-18,True
140,1084,3538,885852.02,2026-07-11,False
141,1478,903,496439.07,2025-06-02,True
142,4008,1554,176389.28,2024-06-03,True
143,1467,1361,24088.93,2024-04-01,False
144,307,309,612330.35,2025-10-21,True
145,3200,4664,0.0,2024-03-10,False
146,2168,4202,718349.07,2026-05-31,True
147,3944,1194,631841.04,2026-05-31,False
148,805,1756,469280.11,2023-07-07,True
149,2353,3488,279827.53,2026-05-31,False
150,4365,792,424371.44,2023-08-19,True
151,3750,2337,432745.14,2026-05-31,True
152,652,4365,705795.45,2024-04-28,False
153,3104,469,504627.05,2025-06-15,False
154,4788,714,634695.71,2026-11-25,True
155,3682,4424,215317.19,2025-10-11,False
156,1045,4699,0.0,2023-01-14,True
157,3996,3010,0.0,2024-09-09,True
158,1804,2485,887088.13,2024-02-02,False
159,4156,3381,871580.66,2026-03-15,True
160,864,4467,947086.76,2025-04-16,False
161,1868,2748,359897.44,2022-08-30,False
162,2169,4789,657771.85,2024-01-08,True
163,256,400,679487.34,2023-01-18,False
164,992,3357,0.0,2024-11-04,False
165,549,869,416069.15,2026-09-06,True
166,2709,1494,889618.98,2024-11-26,True
167,506,4144,543978.6,2026-07-29,False
168,1714,3228,313933.61,2026-11-01,True
169,2626,3692,344761.49,2025-08-10,False
170,2355,4588,810283.27,2026-05-31,True
171,450,3044,908732.79,2025-04-04,False
172,14,3823,134864.7,2026-03-02,False
173,2708,419,605079.63,2026-06-16,False
174,1354,2380,657682.11,2023-07-27,False
175,2408,165,532615.5,2025-05-05,True
176,1326,2417,247372.27,2023-07-17,False
177,2975,4880,193534.8,2026-10-08,True
178,2322,924,244533.25,2023-07-04,False
179,2145,436,750027.59,2023-12-01,True
180,4988,4497,573528.48,2022-10-09,True
181,2347,2379,112980.59,2025-01-17,True
182,4034,4453,178350.26,2024-12-07,True
183,3928,1419,337307.35,2026-04-30,False
184,1585,295,0.0,2022-10-27,True
185,4499,346,43970.16,2023-01-03,True
186,2644,1890,311629.1,2026-03-27,False
187,3151,2134,940397.45,2025-05-23,False
188,4644,925,133314.58,2026-02-21,False
189,1594,4839,102035.09,2026-11-21,True
190,2099,1641,963299.1,2026-09-15,True
191,1473,556,493099.57,2022-09-15,False
192,434,1964,288047.1,2024-09-21,False
193,3402,3956,883880.02,2025-06-12,True
194,2460,3423,201488.04,2025-04-03,False
195,4420,4615,745017.38,2023-01-20,True
196,366,62,0.0,2026-05-31,True
197,1287,3068,263254.97,2026-11-07,True
198,301,767,265334.0,2026-08-22,True
199,2268,4559,863893.88,2024-01-03,False
200,2009,811,803417.95,2022-08-08,False
201,3160,4892,766441.5,2026-04-28,False
202,1541,1799,360928.95,2026-10-12,False
203,2903,113,0.0,2022-10-09,False
204,2889,1200,179306.35,2026-09-22,False
205,2792,1728,583470.31,2026-02-19,False
206,981,3592,301936.23,2026-02-24,True
207,1990,111,863854.82,2026-09-24,True
208,1819,4501,717966.7,2026-06-21,False
209,290,189,204234.65,2023-10-22,True
210,260,1179,578942.87,2022-09-03,True
211,1880,2819,646018.94,2023-11-03,True
212,4849,126,929034.61,2025-06-04,True
213,3359,1639,0.0,2025-07-23,False
214,1697,1437,533240.99,2023-12-28,True
215,1582,3702,308542.49,2025-05-26,True
216,1156,545,386731.03,2022-11-20,False
217,1023,1441,240640.69,2023-02-28,True
218,4758,4250,150399.74,2023-01-31,False
219,3357,3927,977322.59,2026-09-17,False
220,4087,4557,175528.23,2026-09-10,True
221,2307,4802,580434.78,2024-01-13,True
222,567,4659,0.0,2025-03-16,False
223,163,370,339540.91,2023-05-08,True
224,390,4910,3395.99,2024-12-26,False
225,938,1640,207090.41,2023-10-01,False
226,3959,3836,195055.26,2025-08-25,False
227,3608,2301,22434.38,2024-01-20,True
228,4230,1476,220841.55,2026-01-23,False
229,2148,2602,111698.41,2025-10-21,False
230,3530,2739,694476.75,2024-12-18,True
231,3783,2552,457975.72,2022-12-09,True
232,2856,1556,753085.06,2026-06-15,True
233,1890,2710,759170.37,2022-07-28,False
234,185,1187,147094.8,2026-05-31,False
235,1356,2509,0.0,2026-05-31,False
236,883,4231,0.0,2025-01-18,True
237,3488,2035,69908.6,2023-11-04,False
238,4184,4245,122123.51,2023-04-10,False
239,3475,2853,459941.79,2026-05-31,False
240,2914,4322,936743.61,2023-07-24,False
241,4543,1736,8493.08,2025-04-30,False
242,3360,3049,61117.23,2024-05-04,True
243,4568,2107,922948.98,2022-11-16,True
244,2316,4179,865526.64,2025-10-08,False
245,3433,2981,922704.95,2026-10-23,False
246,2778,2812,725289.31,2023-11-15,True
247,3161,1363,202585.45,2026-03-29,False
248,4297,3774,536319.37,2022-09-01,True
249,1404,243,763143.63,2025-07-01,False
250,3943,2707,513287.69,2025-03-20,False
251,1829,1553,848202.23,2025-02-24,False
252,248,4185,209886.17,2026-12-01,False
253,1440,2401,525865.62,2022-09-16,True
254,1878,1839,611226.51,2022-11-04,True
255,778,560,732844.07,2024-07-28,False
256,4682,352,642461.69,2026-08-23,False
257,101,1642,915467.87,2026-05-31,True
258,251,931,746052.71,2025-02-22,True
259,1015,3758,609036.22,2024-04-26,True
260,541,2224,354743.93,2025-10-06,True
261,1106,2250,133780.67,2026-05-31,True
262,2138,4425,994227.24,2023-03-02,False
263,1314,3843,646210.49,2025-11-21,True
264,2148,3743,249716.3,2022-09-16,False
265,4925,2159,714824.02,2026-11-23,False
266,1107,3064,252546.2,2023-12-29,True
267,3941,1615,336190.02,2024-02-25,True
268,2952,3529,387480.54,2026-02-13,True
269,2048,407,833604.7,2023-12-18,True
270,2571,4174,166785.64,2024-07-27,True
271,2781,2730,249978.66,2025-09-19,True
272,1234,807,773994.08,2023-04-21,False
273,2410,217,26683.21,2025-03-07,True
274,636,1566,467544.33,2022-10-21,False
275,1128,3449,889069.18,2026-06-06,True
276,3890,1274,251970.07,2022-11-24,True
277,4237,4936,690204.33,2023-01-23,True
278,871,1974,707932.88,2024-02-01,True
279,3149,3491,209959.87,2023-08-29,False
280,4686,2091,948600.06,2025-05-13,True
281,3739,2041,90720.67,2026-05-31,True
282,3884,4229,353011.81,2023-07-20,False
283,2152,3919,484579.73,2026-05-04,True
284,3182,1923,474637.89,2026-10-08,False
285,406,2221,882306.41,2026-11-15,True
286,1770,1310,302202.7,2023-02-01,False
287,4805,2156,798451.32,2022-12-16,False
288,1153,1737,383892.49,2023-08-28,True
289,1985,941,0.0,2026-11-09,False
290,1537,3877,493191.74,2024-08-06,False
291,375,3994,222650.41,2025-06-04,True
292,3728,2275,81843.59,2025-03-13,True
293,407,1900,49646.76,2025-02-11,True
294,2908,3445,258348.48,2024-11-02,False
295,1056,777,878179.75,2026-05-31,False
296,1673,1977,261815.4,2022-09-23,False
297,1871,1088,391986.45,2022-10-06,True
298,4715,1975,739291.77,2024-02-10,True
299,3500,1246,904142.11,2023-07-21,True
300,4121,572,204563.45,2026-05-31,False
301,692,4804,667312.26,2025-11-15,True
302,789,2827,114180.88,2026-08-16,False
303,67,916,114375.43,2026-09-28,False
304,216,1914,526855.61,2026-10-21,False
305,203,1626,975670.67,2026-01-24,True
306,1806,4657,399382.24,2026-02-07,False
307,694,4888,427326.87,2024-06-27,True
308,1939,4920,663007.79,2025-05-12,True
309,859,2782,674147.28,2024-08-16,True
310,564,2774,301083.67,2022-07-23,True
311,1012,2105,717518.89,2026-06-08,False
312,120,2304,152505.14,2026-05-31,False
313,2274,1226,225360.42,2022-07-18,False
314,4354,4668,531332.57,2023-08-13,False
315,3289,4859,925125.61,2023-05-26,False
316,4799,3958,417981.44,2025-01-08,False
317,4266,3166,627616.49,2026-09-10,True
318,3048,4706,212353.32,2024-09-11,True
319,196,4973,182672.98,2025-08-13,True
320,3242,4206,483791.37,2026-02-16,True
321,762,923,958895.57,2025-07-27,True
322,4981,61,939615.31,2026-01-15,False
323,3383,4047,523383.04,2023-08-21,True
324,2966,3841,410486.5,2022-08-23,True
325,1715,641,842265.97,2023-07-13,False
326,201,2309,84684.61,2024-04-03,False
327,3177,3476,655300.96,2023-11-06,False
328,966,2233,312300.0,2025-03-22,False
329,3208,4126,189026.61,2025-12-04,False
330,2062,4100,600863.66,2025-05-13,False
331,1747,3947,10657.59,2025-08-23,True
332,1280,2273,609113.46,2024-09-28,True
333,650,2025,831754.04,2025-04-26,False
334,1354,1576,0.0,2026-02-24,True
335,4383,3203,472243.71,2024-02-19,False
336,4665,1707,801397.4,2024-12-23,False
337,3262,3016,108441.29,2026-05-31,True
338,2853,3526,124633.24,2023-03-25,True
339,1127,1103,534647.32,2026-12-29,False
340,4263,173,977990.11,2023-05-09,False
341,1527,3198,375687.16,2025-06-21,False
342,4970,1646,634685.16,2023-10-04,False
343,4442,783,309479.45,2025-08-03,True
344,4654,2270,75873.09,2026-05-10,False
345,1675,3087,0.0,2026-05-31,True
346,695,2296,884586.89,2024-01-02,True
347,2127,3729,880995.26,2024-01-27,True
348,2030,2199,144426.29,2025-10-04,True
349,1597,1887,352684.42,2026-04-10,False
350,1710,4813,483538.67,2026-01-21,False
351,3746,3220,967774.01,2023-06-26,True
352,1398,2516,310410.17,2026-03-17,True
353,1434,4947,798504.05,2023-08-25,False
354,4207,319,375036.91,2023-02-16,False
355,3968,385,881848.74,2024-03-19,False
356,4893,2787,460634.06,2024-07-17,False
357,720,4557,495107.52,2022-10-23,True
358,3845,3082,492058.08,2024-03-14,False
359,944,3753,770152.69,2023-02-13,True
360,3915,787,488971.83,2024-07-06,False
361,2589,973,574208.31,2026-04-21,False
362,1266,3467,916249.78,2024-12-08,False
363,2668,564,352303.91,2024-01-20,False
364,1047,4040,40061.73,2024-04-17,False
365,4143,1862,672812.38,2024-03-30,False
366,2326,2622,677417.28,2026-06-21,False
367,502,4811,492012.04,2024-08-09,False
368,465,4897,154030.85,2026-04-18,True
369,4944,4746,8981.35,2026-01-05,False
370,4876,2503,381350.26,2024-01-21,False
371,2824,2600,0.0,2024-06-19,True
372,4357,1970,0.0,2024-12-06,True
373,2436,2775,726428.97,2024-09-04,False
374,423,3534,820306.94,2024-03-30,False
375,2409,723,635915.92,2025-06-13,False
376,156,2043,963703.68,2026-07-13,True
377,4165,3837,40739.07,2024-04-06,False
378,3271,4952,150816.33,2024-07-26,True
379,2385,4765,111897.4,2026-06-16,True
380,436,1138,458511.56,2025-11-25,True
381,957,438,865789.66,2026-06-15,True
382,1746,1634,853141.78,2023-09-28,False
383,4027,4831,950095.04,2026-07-28,True
384,2336,3802,598417.06,2025-04-23,False
385,4332,4874,363044.94,2026-08-24,False
386,2845,4994,100943.64,2025-12-11,True
387,20,3756,940479.28,2026-06-05,False
388,247,4593,34602.52,2026-09-14,False
389,4150,3362,317737.06,2024-02-21,False
390,3416,4413,846103.06,2025-12-20,True
391,4443,480,921566.5,2026-03-30,True
392,1552,1388,220305.49,2023-01-06,True
393,4720,2286,212368.86,2023-10-25,True
394,4377,3002,385470.05,2025-03-26,False
395,2432,1320,981381.33,2025-03-21,False
396,4015,4586,889342.84,2025-10-19,True
397,3956,4544,64528.87,2025-09-09,True
398,4265,841,523815.61,2026-08-28,False
399,1028,3947,744061.06,2025-10-08,True
400,1209,4803,226852.67,2026-01-24,True
401,970,2465,464492.56,2024-03-03,True
402,2872,2072,92883.88,2024-05-15,True
403,2262,2111,0.0,2024-11-16,False
404,2603,2291,102016.13,2025-01-17,False
405,4669,3830,178892.47,2024-02-27,False
406,1563,3944,480894.91,2025-03-18,False
407,4446,875,172447.46,2026-05-31,False
408,828,1764,908584.52,2022-08-02,False
409,4009,1625,789929.39,2023-01-15,False
410,3991,2290,45827.31,2024-04-18,True
411,1831,775,603331.79,2023-08-23,True
412,1914,2330,690619.59,2024-05-15,False
413,2007,3781,720859.09,2022-12-10,False
414,1082,2192,667324.38,2024-05-31,True
415,1289,99,0.0,2024-08-25,False
416,1917,2323,741021.6,2022-09-07,True
417,2498,3250,877975.14,2025-02-17,True
418,1391,997,59593.3,2024-03-26,True
419,2234,2042,558633.5,2022-11-10,True
420,2179,4178,859478.86,2025-06-20,False
421,3563,2984,139540.2,2025-10-07,True
422,3060,33,308372.86,2026-05-31,True
423,3812,1492,694747.78,2026-05-27,True
424,3085,3147,324940.62,2023-07-21,True
425,4924,346,304433.18,2023-09-06,True
426,894,2173,580425.11,2025-12-25,False
427,888,1463,426308.89,2022-11-06,False
428,1258,1938,961358.36,2023-07-09,False
429,3810,2368,641953.1,2026-04-06,False
430,2820,1082,907747.08,2024-12-30,True
431,4291,1716,787796.98,2025-05-22,True
432,1082,3897,521528.74,2025-12-21,True
433,4805,2372,734700.98,2026-04-20,True
434,547,1795,607713.37,2025-07-13,False
435,4769,2431,538816.75,2023-12-24,False
436,2007,2225,436479.47,2022-11-02,False
437,1879,1575,103547.47,2023-04-13,True
438,3399,3721,266324.67,2026-10-31,True
439,2189,1370,778861.15,2022-07-17,False
440,4276,3804,975651.33,2023-05-05,True
441,2239,2581,609455.33,2026-10-28,False
442,681,1774,373276.0,2022-11-17,True
443,2818,2910,649115.64,2026-10-12,True
444,3743,1838,309329.56,2024-08-27,False
445,2604,2655,578943.99,2026-05-31,True
446,3981,4005,354358.93,2023-12-04,False
447,33,4354,202299.08,2024-11-03,True
448,3580,581,420633.38,2023-11-18,False
449,2857,3770,67420.77,2023-07-24,False
450,3841,2129,972870.08,2025-09-27,False
451,1175,1206,243116.48,2023-11-10,False
452,2704,2216,502192.68,2026-09-12,False
453,4661,478,126890.62,2025-08-02,True
454,4687,2534,753873.34,2026-11-28,True
455,472,4885,318356.48,2023-01-08,False
456,136,3266,408482.81,2023-05-29,False
457,3492,2209,397190.39,2023-11-06,True
458,2500,1565,389318.07,2023-08-14,True
459,4576,4733,19873.94,2022-10-12,True
460,1462,1616,352078.32,2026-09-21,True
461,390,2452,716157.66,2024-05-02,True
462,2538,1696,987093.9,2024-03-14,True
463,3376,2129,329037.08,2023-02-07,False
464,3415,3392,247076.14,2025-02-17,True
465,818,3594,76632.43,2024-09-05,True
466,735,4332,590095.45,2022-07-27,True
467,4106,3329,925922.33,2025-12-03,True
468,3444,3298,0.0,2024-09-22,False
469,2514,238,140106.16,2025-01-14,False
470,3004,2616,362745.68,2026-04-19,True
471,1846,755,522122.77,2026-09-09,False
472,3843,4720,514691.18,2025-06-09,False
473,3651,2715,580613.3,2022-10-22,True
474,403,2775,443013.58,2026-11-19,True
475,4347,3900,765195.88,2026-05-31,False
476,1081,970,161099.72,2023-03-10,False
477,4892,1595,914972.07,2023-04-30,True
478,906,568,406388.03,2025-10-19,False
479,2791,395,706387.25,2022-07-14,True
480,1161,1623,405109.74,2025-08-21,False
481,4206,47,268625.38,2024-07-11,True
482,2560,1818,773057.72,2025-01-17,True
483,1706,4964,182625.18,2022-10-27,True
484,3950,1863,164414.0,2024-11-19,False
485,741,4288,247815.03,2023-02-25,True
486,3002,3227,683807.62,2022-11-06,False
487,307,379,373148.75,2026-11-12,False
488,4409,1623,337649.58,2025-07-23,False
489,4001,1987,998306.56,2024-12-11,False
490,4217,4627,367996.75,2026-05-31,True
491,61,1000,547232.34,2024-09-10,False
492,4369,1341,479655.88,2023-09-05,False
493,3670,2462,22220.03,2024-12-14,True
494,271,1662,740117.97,2022-09-25,False
495,1185,3983,797312.95,2025-12-21,True
496,3658,1264,561790.1,2026-02-22,True
497,2583,1905,490344.73,2024-09-11,True
498,3763,614,450314.09,2023-01-26,True
499,4862,3082,37394.58,2024-08-24,True
500,3937,3573,706282.36,2025-06-15,True
501,3903,3582,691464.0,2024-05-23,True
502,2167,629,839941.23,2026-02-06,False
503,1024,706,791140.99,2025-08-24,False
504,3455,1356,508641.63,2022-09-13,False
505,3995,1235,89202.75,2023-07-01,True
506,3580,3686,772591.94,2025-01-13,True
507,4529,3588,130053.95,2024-04-20,True
508,838,4602,865680.53,2023-03-22,True
509,1464,3745,301375.53,2026-05-26,True
510,3152,1568,313030.71,2024-08-29,True
511,796,2366,838086.83,2025-07-30,True
512,3111,4098,606264.03,2023-11-19,True
513,4769,4754,503501.91,2026-01-27,True
514,2069,89,962804.67,2022-10-27,True
515,2279,3374,299550.85,2023-11-20,False
516,3051,2496,939014.61,2022-07-01,False
517,4941,1399,883869.67,2023-12-09,True
518,2461,599,443620.24,2026-10-26,False
519,4835,4551,352383.65,2023-12-01,True
520,4374,120,746138.36,2026-10-26,False
521,4617,306,970314.8,2024-05-01,True
522,1980,2920,846800.34,2024-06-23,False
523,4711,995,693494.63,2026-08-27,False
524,495,223,868668.16,2023-03-29,True
525,2608,1562,520694.28,2023-09-08,True
526,2048,4306,0.0,2022-12-12,True
527,1217,3421,106479.38,2025-07-24,False
528,512,4882,648008.43,2023-06-07,True
529,1804,2685,662686.74,2024-12-18,False
530,1076,98,100685.26,2022-10-10,False
531,3297,3432,565071.37,2024-11-08,False
532,347,3188,875866.15,2025-08-18,False
533,350,1901,894758.18,2022-12-21,False
534,359,441,453227.73,2026-05-31,False
535,2435,2987,59112.07,2025-10-07,False
536,2033,4283,569215.09,2025-01-04,False
537,3845,2474,354057.39,2022-11-30,True
538,2909,3569,440228.7,2025-01-12,True
539,1027,2949,779170.94,2025-05-20,True
540,871,3298,930766.99,2025-02-01,True
541,2399,497,757394.04,2024-03-29,True
542,4630,666,108262.67,2026-09-16,False
543,2030,4055,303207.5,2026-05-31,False
544,3876,1264,620853.74,2023-09-09,False
545,4274,497,422748.0,2023-03-25,True
546,1397,4639,412095.81,2025-03-25,False
547,1098,4050,777606.11,2023-07-29,False
548,484,154,271504.5,2023-09-25,True
549,2311,3262,106021.28,2026-12-18,True
550,582,92,590226.24,2026-02-07,True
551,2520,656,691992.64,2026-05-31,False
552,2448,991,252009.64,2023-09-06,False
553,4542,4647,459615.67,2023-06-13,True
554,3246,1202,874988.2,2022-11-30,False
555,4049,4185,806048.95,2023-05-16,True
556,1988,4496,352016.73,2026-10-02,False
557,3121,429,405473.33,2024-01-21,False
558,45,3121,882905.22,2022-09-22,False
559,269,1100,298049.47,2022-09-22,False
560,1775,2024,986523.67,2026-05-14,True
561,123,739,540903.21,2026-07-12,True
562,618,4643,396156.27,2024-10-06,True
563,1964,2810,823119.96,2023-09-18,False
564,1092,4087,319151.0,2025-05-03,False
565,195,1345,0.0,2026-02-27,False
566,1368,3324,352082.41,2026-06-16,False
567,2245,1435,139092.35,2024-03-12,True
568,3693,722,912675.16,2024-04-27,False
569,401,4969,81205.51,2023-09-09,False
570,1762,3807,634929.77,2024-05-13,True
571,1023,4952,372262.26,2026-05-31,False
572,4368,3155,79147.88,2022-11-09,True
573,4483,295,0.0,2026-08-02,True
574,2352,4769,82532.51,2023-06-08,False
575,2729,4150,0.0,2023-10-03,True
576,4149,408,72541.43,2026-03-08,False
577,1949,2825,169638.21,2023-07-01,True
578,3271,2508,818706.28,2025-09-12,True
579,1373,3745,183799.18,2023-07-29,True
580,3390,2629,658794.64,2026-07-23,True
581,325,1843,908508.17,2023-11-30,False
582,3742,2913,814819.55,2025-11-08,True
583,3039,3331,580016.25,2024-08-22,False
584,2669,1240,299500.54,2026-05-31,False
585,990,1795,744544.38,2026-05-31,True
586,1290,4372,391042.22,2023-06-30,False
587,2608,4341,534229.89,2026-02-14,True
588,1039,4623,738781.24,2023-02-12,False
589,4240,1784,544024.57,2026-01-18,False
590,282,767,816761.37,2025-05-16,True
591,136,1643,370802.16,2023-07-13,True
592,3740,1180,899447.6,2025-10-01,True
593,4345,3268,144052.58,2022-12-09,False
594,1408,767,891786.71,2024-10-16,False
595,3114,2527,176186.0,2026-07-01,True
596,2016,3399,629317.97,2026-07-09,True
597,1784,388,38073.11,2026-10-04,True
598,3329,3874,663712.49,2026-04-05,False
599,1757,654,450321.71,2025-08-31,True
600,2296,2013,710094.45,2026-09-01,False
601,2893,4721,377213.58,2025-09-15,True
602,2963,49,189649.03,2024-08-20,True
603,4673,1581,350961.27,2023-11-09,False
604,2234,2496,283875.22,2025-11-30,False
605,565,4653,334642.71,2023-01-20,False
606,2923,4451,636840.36,2024-09-06,True
607,4605,4574,446640.43,2026-05-31,True
608,402,3038,742043.82,2025-11-01,False
609,1933,2691,0.0,2024-11-06,True
610,882,606,852407.66,2024-11-26,True
611,2735,275,716750.06,2022-09-11,False
612,754,2833,876052.87,2023-09-02,True
613,304,1570,0.0,2026-08-23,True
614,1280,3018,28697.49,2023-08-06,True
615,2427,629,379165.1,2023-04-16,True
616,2474,4391,784672.12,2025-09-08,False
617,1776,341,578841.12,2025-01-23,False
618,2971,1733,0.0,2023-05-10,False
619,317,2620,244087.93,2024-10-06,True
620,4894,2299,513873.61,2025-10-04,True
621,4400,4589,565449.24,2023-04-24,False
622,377,2942,597606.38,2024-07-27,False
623,1435,2684,980467.88,2022-12-21,False
624,228,1841,105635.67,2026-09-22,True
625,4631,2007,128050.9,2024-03-23,False
626,4124,169,465849.0,2026-08-20,False
627,1162,1570,0.0,2026-05-31,True
628,790,388,816562.44,2022-10-19,True
629,3184,587,0.0,2023-11-14,True
630,2125,692,676175.51,2023-05-05,False
631,501,1805,357583.54,2026-12-08,True
632,3177,4755,665926.9,2024-08-19,False
633,1306,4414,839099.12,2026-12-03,False
634,2004,367,502104.2,2024-10-26,False
635,2698,2092,0.0,2022-11-20,True
636,2285,2269,14073.72,2026-03-01,True
637,3892,2409,766175.03,2025-05-31,True
638,4609,4810,563339.58,2023-01-27,True
639,2744,2972,0.0,2024-08-05,False
640,2989,2799,922217.76,2024-03-25,True
641,3798,4597,340773.3,2023-11-23,True
642,2044,3640,32484.16,2023-09-06,True
643,4684,4800,7526.94,2023-08-07,False
644,1139,3799,0.0,2026-05-31,True
645,627,1673,73660.95,2022-07-03,False
646,728,1304,759426.26,2025-07-05,True
